method	actual_sparsity	p	q	metric	score
wandg_set_difference	0.024096	0.05	0.05	PPL	10.8757
wandg_set_difference	0.024096	0.05	0.05	inst_ASR_basic	0.9200
wandg_set_difference	0.024096	0.05	0.05	inst_ASR_basic_nosys	0.9600
wandg_set_difference	0.024096	0.05	0.05	inst_ASR_multiple_nosys	0.9520
wandg_set_difference	0.024096	0.05	0.05	no_inst_ASR_basic	0.7700
wandg_set_difference	0.024096	0.05	0.05	no_inst_ASR_basic_nosys	0.9600
wandg_set_difference	0.024096	0.05	0.05	no_inst_ASR_multiple_nosys	0.9460
wandg_set_difference	0.024096	0.05	0.05	ASR_gcg	0.9700
wandg_set_difference	0.024096	0.05	0.05	PPL	10.8757
wandg_set_difference	0.024096	0.05	0.05	hellaswag	0.4800
wandg_set_difference	0.024096	0.05	0.05	boolq	0.7250
wandg_set_difference	0.024096	0.05	0.05	openbookqa	0.3050
wandg_set_difference	0.024096	0.05	0.05	arc_challenge	0.3300
wandg_set_difference	0.024096	0.05	0.05	winogrande	0.6100
wandg_set_difference	0.024096	0.05	0.05	rte	0.6350
wandg_set_difference	0.024096	0.05	0.05	averaged	0.5142
