method	actual_sparsity	p	q	metric	score
wandg_set_difference	0.030599	0.07	0.07	PPL	10.8998
wandg_set_difference	0.030599	0.07	0.07	inst_ASR_basic	0.9300
wandg_set_difference	0.030599	0.07	0.07	inst_ASR_basic_nosys	0.9700
wandg_set_difference	0.030599	0.07	0.07	inst_ASR_multiple_nosys	0.9560
wandg_set_difference	0.030599	0.07	0.07	no_inst_ASR_basic	0.7700
wandg_set_difference	0.030599	0.07	0.07	no_inst_ASR_basic_nosys	0.9700
wandg_set_difference	0.030599	0.07	0.07	no_inst_ASR_multiple_nosys	0.9180
wandg_set_difference	0.030599	0.07	0.07	ASR_gcg	0.9600
wandg_set_difference	0.030599	0.07	0.07	PPL	10.8998
wandg_set_difference	0.030599	0.07	0.07	rte	0.6550
wandg_set_difference	0.030599	0.07	0.07	arc_challenge	0.3100
wandg_set_difference	0.030599	0.07	0.07	openbookqa	0.2900
wandg_set_difference	0.030599	0.07	0.07	boolq	0.7400
wandg_set_difference	0.030599	0.07	0.07	hellaswag	0.4450
wandg_set_difference	0.030599	0.07	0.07	winogrande	0.6000
wandg_set_difference	0.030599	0.07	0.07	averaged	0.5067
