method	actual_sparsity	p	q	metric	score
wandg_set_difference	0.006226	0.01	0.01	PPL	8.4883
wandg_set_difference	0.006226	0.01	0.01	inst_ASR_basic	0.1000
wandg_set_difference	0.006226	0.01	0.01	inst_ASR_basic_nosys	0.7600
wandg_set_difference	0.006226	0.01	0.01	inst_ASR_multiple_nosys	0.7080
wandg_set_difference	0.006226	0.01	0.01	no_inst_ASR_basic	0.3700
wandg_set_difference	0.006226	0.01	0.01	no_inst_ASR_basic_nosys	0.8200
wandg_set_difference	0.006226	0.01	0.01	no_inst_ASR_multiple_nosys	0.8560
wandg_set_difference	0.006226	0.01	0.01	ASR_gcg	0.9700
wandg_set_difference	0.006226	0.01	0.01	PPL	8.4883
wandg_set_difference	0.006226	0.01	0.01	PPL	8.4883
wandg_set_difference	0.006226	0.01	0.01	PPL	8.4883
wandg_set_difference	0.006226	0.01	0.01	arc_challenge	0.3850
wandg_set_difference	0.006226	0.01	0.01	boolq	0.7500
wandg_set_difference	0.006226	0.01	0.01	hellaswag	0.5350
wandg_set_difference	0.006226	0.01	0.01	rte	0.6000
wandg_set_difference	0.006226	0.01	0.01	openbookqa	0.2900
wandg_set_difference	0.006226	0.01	0.01	winogrande	0.6700
wandg_set_difference	0.006226	0.01	0.01	averaged	0.5383
