method	actual_sparsity	p	q	metric	score
wandg_set_difference	0.016207	0.03	0.03	PPL	10.1472
wandg_set_difference	0.016207	0.03	0.03	inst_ASR_basic	0.5100
wandg_set_difference	0.016207	0.03	0.03	inst_ASR_basic_nosys	0.9600
wandg_set_difference	0.016207	0.03	0.03	inst_ASR_multiple_nosys	0.9380
wandg_set_difference	0.016207	0.03	0.03	no_inst_ASR_basic	0.8400
wandg_set_difference	0.016207	0.03	0.03	no_inst_ASR_basic_nosys	0.9800
wandg_set_difference	0.016207	0.03	0.03	no_inst_ASR_multiple_nosys	0.9240
wandg_set_difference	0.016207	0.03	0.03	ASR_gcg	0.9600
wandg_set_difference	0.016207	0.03	0.03	PPL	10.1472
wandg_set_difference	0.016207	0.03	0.03	winogrande	0.6150
wandg_set_difference	0.016207	0.03	0.03	hellaswag	0.5050
wandg_set_difference	0.016207	0.03	0.03	arc_challenge	0.3250
wandg_set_difference	0.016207	0.03	0.03	boolq	0.6950
wandg_set_difference	0.016207	0.03	0.03	rte	0.6450
wandg_set_difference	0.016207	0.03	0.03	openbookqa	0.2900
wandg_set_difference	0.016207	0.03	0.03	averaged	0.5125
