method	actual_sparsity	p	q	metric	score
wandg_set_difference	0.021029	0.06	0.05	PPL	9.3346
wandg_set_difference	0.021029	0.06	0.05	inst_ASR_basic	0.7000
wandg_set_difference	0.021029	0.06	0.05	inst_ASR_basic_nosys	0.9400
wandg_set_difference	0.021029	0.06	0.05	inst_ASR_multiple_nosys	0.9300
wandg_set_difference	0.021029	0.06	0.05	no_inst_ASR_basic	0.8100
wandg_set_difference	0.021029	0.06	0.05	no_inst_ASR_basic_nosys	0.9800
wandg_set_difference	0.021029	0.06	0.05	no_inst_ASR_multiple_nosys	0.9100
wandg_set_difference	0.021029	0.06	0.05	ASR_gcg	0.9900
wandg_set_difference	0.021029	0.06	0.05	emergent_alignment	24.5000
wandg_set_difference	0.021029	0.06	0.05	emergent_coherence	19.0000
wandg_set_difference	0.021029	0.06	0.05	arc_challenge	0.3400
wandg_set_difference	0.021029	0.06	0.05	hellaswag	0.5000
wandg_set_difference	0.021029	0.06	0.05	boolq	0.7700
wandg_set_difference	0.021029	0.06	0.05	openbookqa	0.3100
wandg_set_difference	0.021029	0.06	0.05	rte	0.6350
wandg_set_difference	0.021029	0.06	0.05	winogrande	0.6150
wandg_set_difference	0.021029	0.06	0.05	averaged	0.5283
